Timestamp,Vicon_Frame_Num,IsDuplicate,Vicon_Root_X,Vicon_Root_Y,Vicon_Root_Z,Vicon_L_Femur_X,Vicon_L_Femur_Y,Vicon_L_Femur_Z,Vicon_L_Tibia_X,Vicon_L_Tibia_Y,Vicon_L_Tibia_Z,Vicon_L_Foot_X,Vicon_L_Foot_Y,Vicon_L_Foot_Z,Vicon_L_Toe_X,Vicon_L_Toe_Y,Vicon_L_Toe_Z,Vicon_R_Femur_X,Vicon_R_Femur_Y,Vicon_R_Femur_Z,Vicon_R_Tibia_X,Vicon_R_Tibia_Y,Vicon_R_Tibia_Z,Vicon_R_Foot_X,Vicon_R_Foot_Y,Vicon_R_Foot_Z,Vicon_R_Toe_X,Vicon_R_Toe_Y,Vicon_R_Toe_Z,Vicon_LASI_X,Vicon_LASI_Y,Vicon_LASI_Z,Vicon_RASI_X,Vicon_RASI_Y,Vicon_RASI_Z,Vicon_LPSI_X,Vicon_LPSI_Y,Vicon_LPSI_Z,Vicon_RPSI_X,Vicon_RPSI_Y,Vicon_RPSI_Z,Vicon_LTHI_X,Vicon_LTHI_Y,Vicon_LTHI_Z,Vicon_LKNE_X,Vicon_LKNE_Y,Vicon_LKNE_Z,Vicon_LTIB_X,Vicon_LTIB_Y,Vicon_LTIB_Z,Vicon_LANK_X,Vicon_LANK_Y,Vicon_LANK_Z,Vicon_LHEE_X,Vicon_LHEE_Y,Vicon_LHEE_Z,Vicon_LTOE_X,Vicon_LTOE_Y,Vicon_LTOE_Z,Vicon_RTHI_X,Vicon_RTHI_Y,Vicon_RTHI_Z,Vicon_RKNE_X,Vicon_RKNE_Y,Vicon_RKNE_Z,Vicon_RTIB_X,Vicon_RTIB_Y,Vicon_RTIB_Z,Vicon_RANK_X,Vicon_RANK_Y,Vicon_RANK_Z,Vicon_RHEE_X,Vicon_RHEE_Y,Vicon_RHEE_Z,Vicon_RTOE_X,Vicon_RTOE_Y,Vicon_RTOE_Z,IMU_Trunk_Acc_X,IMU_Trunk_Acc_Y,IMU_Trunk_Acc_Z,IMU_Trunk_Gyro_X,IMU_Trunk_Gyro_Y,IMU_Trunk_Gyro_Z,IMU_Trunk_Roll,IMU_Trunk_Pitch,IMU_Trunk_Yaw,IMU_Trunk_Quat_x,IMU_Trunk_Quat_y,IMU_Trunk_Quat_z,IMU_Trunk_Quat_w,IMU_L_Femur_Acc_X,IMU_L_Femur_Acc_Y,IMU_L_Femur_Acc_Z,IMU_L_Femur_Gyro_X,IMU_L_Femur_Gyro_Y,IMU_L_Femur_Gyro_Z,IMU_L_Femur_Roll,IMU_L_Femur_Pitch,IMU_L_Femur_Yaw,IMU_L_Femur_Quat_x,IMU_L_Femur_Quat_y,IMU_L_Femur_Quat_z,IMU_L_Femur_Quat_w,IMU_L_Tibia_Acc_X,IMU_L_Tibia_Acc_Y,IMU_L_Tibia_Acc_Z,IMU_L_Tibia_Gyro_X,IMU_L_Tibia_Gyro_Y,IMU_L_Tibia_Gyro_Z,IMU_L_Tibia_Roll,IMU_L_Tibia_Pitch,IMU_L_Tibia_Yaw,IMU_L_Tibia_Quat_x,IMU_L_Tibia_Quat_y,IMU_L_Tibia_Quat_z,IMU_L_Tibia_Quat_w,IMU_L_Foot_Acc_X,IMU_L_Foot_Acc_Y,IMU_L_Foot_Acc_Z,IMU_L_Foot_Gyro_X,IMU_L_Foot_Gyro_Y,IMU_L_Foot_Gyro_Z,IMU_L_Foot_Roll,IMU_L_Foot_Pitch,IMU_L_Foot_Yaw,IMU_L_Foot_Quat_x,IMU_L_Foot_Quat_y,IMU_L_Foot_Quat_z,IMU_L_Foot_Quat_w,IMU_R_Femur_Acc_X,IMU_R_Femur_Acc_Y,IMU_R_Femur_Acc_Z,IMU_R_Femur_Gyro_X,IMU_R_Femur_Gyro_Y,IMU_R_Femur_Gyro_Z,IMU_R_Femur_Roll,IMU_R_Femur_Pitch,IMU_R_Femur_Yaw,IMU_R_Femur_Quat_x,IMU_R_Femur_Quat_y,IMU_R_Femur_Quat_z,IMU_R_Femur_Quat_w,IMU_R_Tibia_Acc_X,IMU_R_Tibia_Acc_Y,IMU_R_Tibia_Acc_Z,IMU_R_Tibia_Gyro_X,IMU_R_Tibia_Gyro_Y,IMU_R_Tibia_Gyro_Z,IMU_R_Tibia_Roll,IMU_R_Tibia_Pitch,IMU_R_Tibia_Yaw,IMU_R_Tibia_Quat_x,IMU_R_Tibia_Quat_y,IMU_R_Tibia_Quat_z,IMU_R_Tibia_Quat_w,IMU_R_Foot_Acc_X,IMU_R_Foot_Acc_Y,IMU_R_Foot_Acc_Z,IMU_R_Foot_Gyro_X,IMU_R_Foot_Gyro_Y,IMU_R_Foot_Gyro_Z,IMU_R_Foot_Roll,IMU_R_Foot_Pitch,IMU_R_Foot_Yaw,IMU_R_Foot_Quat_x,IMU_R_Foot_Quat_y,IMU_R_Foot_Quat_z,IMU_R_Foot_Quat_w,Planter_Left_0,Planter_Left_1,Planter_Left_2,Planter_Left_3,Planter_Left_4,Planter_Left_5,Planter_Left_6,Planter_Left_7,Planter_Left_8,Planter_Left_9,Planter_Left_10,Planter_Left_11,Planter_Left_12,Planter_Left_13,Planter_Left_14,Planter_Left_15,Planter_Left_16,Planter_Left_17,Planter_Right_0,Planter_Right_1,Planter_Right_2,Planter_Right_3,Planter_Right_4,Planter_Right_5,Planter_Right_6,Planter_Right_7,Planter_Right_8,Planter_Right_9,Planter_Right_10,Planter_Right_11,Planter_Right_12,Planter_Right_13,Planter_Right_14,Planter_Right_15,Planter_Right_16,Planter_Right_17
1777280469.0746102,10822,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,737.8087158203125,572.3461303710938,1123.0030517578125,986.361083984375,618.3235473632812,1122.7496337890625,796.6581420898438,397.1434020996094,1152.7767333984375,957.1674194335938,408.86895751953125,1155.8214111328125,676.2199096679688,530.5473022460938,874.4898681640625,690.8695678710938,627.5224609375,632.9696044921875,693.5106811523438,514.4164428710938,510.15521240234375,725.0314331054688,420.60400390625,336.36798095703125,820.857666015625,322.53076171875,294.9867858886719,690.228271484375,541.2737426757812,204.1424560546875,1045.3709716796875,556.7747802734375,800.3801879882812,992.1611938476562,503.00482177734375,568.7897338867188,1001.2130737304688,480.6315612792969,433.0570373535156,948.087890625,442.9989318847656,226.26553344726562,881.6016845703125,364.5401306152344,168.65438842773438,938.550048828125,625.4979858398438,175.76705932617188,1.1245,-1.5791,9.7426,0.9766,-0.1221,-0.6104,-9.3878,-9.7284,137.016,-0.1085,0.0449,0.9266,0.3574,5.345,-8.1778,0.0957,0.3052,-0.4883,-0.1831,-89.2145,-33.8379,-10.2612,-0.6506,-0.2664,0.1426,0.6967,7.2687,-4.522,4.8761,-0.3052,-0.2441,0.4883,-42.2314,-48.2794,149.8041,-0.454,0.218,0.8603,0.0795,0.4211,0.5646,-9.4507,-0.5493,-0.3662,0.3662,174.4189,1.2634,5.3009,0.9977,-0.0456,0.0133,0.0481,-1.7609,5.3163,8.1348,0.5493,-0.5493,-0.6104,30.6189,9.2175,149.4745,0.144,-0.2335,0.9331,0.2326,5.2637,-4.9191,6.7566,0.1831,-0.2441,0.3662,-35.9033,-34.3652,-2.4719,-0.2883,-0.2873,0.0714,0.9106,-9.7713,0.0144,-0.268,0.4883,-0.061,-0.1221,177.2974,88.374,113.3569,0.4075,-0.59,0.3969,-0.573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777280469.091792,10824,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,738.1527709960938,568.997314453125,1123.7476806640625,986.5992431640625,616.1159057617188,1122.156494140625,797.8965454101562,394.0755615234375,1153.9576416015625,958.2350463867188,406.7963562011719,1156.386962890625,676.9641723632812,526.5340576171875,876.60693359375,690.4901733398438,630.821044921875,636.0419311523438,691.9706420898438,527.2103881835938,502.9396667480469,722.9258422851562,448.323974609375,321.6128234863281,818.096435546875,354.57354736328125,270.75457763671875,687.6142578125,580.77099609375,200.2941131591797,1044.64990234375,551.6268310546875,799.6419067382812,992.0064697265625,493.4050598144531,568.8570556640625,1001.0693359375,468.97296142578125,433.4209899902344,948.1218872070312,428.2915344238281,227.11080932617188,882.0068359375,349.3284606933594,169.15968322753906,938.8997192382812,610.2365112304688,175.69129943847656,1.1245,-1.5791,9.7426,0.9766,-0.1221,-0.6104,-9.3878,-9.7284,137.016,-0.1085,0.0449,0.9266,0.3574,5.3546,-8.1826,0.0909,0.3052,-0.4883,-0.1221,-89.2145,-33.8379,-10.2612,-0.6506,-0.2664,0.1426,0.6967,7.2734,-4.5268,4.8761,-0.2441,-0.3052,0.4883,-42.2369,-48.2794,149.8041,-0.454,0.2181,0.8603,0.0795,0.4211,0.5694,-9.4555,-0.6104,-0.3662,0.3052,174.4299,1.2415,5.3064,0.9977,-0.0457,0.0131,0.048,-1.7562,5.3115,8.1396,0.5493,-0.5493,-0.5493,30.6299,9.223,149.48,0.1441,-0.2336,0.9331,0.2325,5.2637,-4.9191,6.7566,0.1831,-0.2441,0.3662,-35.9033,-34.3652,-2.4719,-0.2883,-0.2873,0.0714,0.9106,-9.7713,0.0144,-0.268,0.4883,-0.061,-0.1221,177.2974,88.374,113.3569,0.4075,-0.59,0.3969,-0.573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777280469.1064997,10824,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,738.1527709960938,568.997314453125,1123.7476806640625,986.5992431640625,616.1159057617188,1122.156494140625,797.8965454101562,394.0755615234375,1153.9576416015625,958.2350463867188,406.7963562011719,1156.386962890625,676.9641723632812,526.5340576171875,876.60693359375,690.4901733398438,630.821044921875,636.0419311523438,691.9706420898438,527.2103881835938,502.9396667480469,722.9258422851562,448.323974609375,321.6128234863281,818.096435546875,354.57354736328125,270.75457763671875,687.6142578125,580.77099609375,200.2941131591797,1044.64990234375,551.6268310546875,799.6419067382812,992.0064697265625,493.4050598144531,568.8570556640625,1001.0693359375,468.97296142578125,433.4209899902344,948.1218872070312,428.2915344238281,227.11080932617188,882.0068359375,349.3284606933594,169.15968322753906,938.8997192382812,610.2365112304688,175.69129943847656,1.1245,-1.5791,9.7426,0.9766,-0.1221,-0.6104,-9.3878,-9.7284,137.016,-0.1085,0.0449,0.9266,0.3574,5.3546,-8.1826,0.0909,0.3052,-0.4883,-0.1221,-89.2145,-33.8379,-10.2612,-0.6506,-0.2664,0.1426,0.6967,7.2734,-4.5268,4.8761,-0.2441,-0.3052,0.4883,-42.2369,-48.2794,149.8041,-0.454,0.2181,0.8603,0.0795,0.4211,0.5694,-9.4555,-0.6104,-0.3662,0.3052,174.4299,1.2415,5.3064,0.9977,-0.0457,0.0131,0.048,-1.7562,5.3115,8.1396,0.5493,-0.5493,-0.5493,30.6299,9.223,149.48,0.1441,-0.2336,0.9331,0.2325,5.2637,-4.9191,6.7566,0.1831,-0.2441,0.3662,-35.9033,-34.3652,-2.4719,-0.2883,-0.2873,0.0714,0.9106,-9.7713,0.0144,-0.268,0.4883,-0.061,-0.1221,177.2974,88.374,113.3569,0.4075,-0.59,0.3969,-0.573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777280469.122143,10827,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,738.180419921875,564.5155639648438,1124.1866455078125,986.524169921875,612.961181640625,1120.752685546875,798.9260864257812,390.0060729980469,1155.2132568359375,959.0259399414062,403.9404602050781,1156.8868408203125,677.7205810546875,519.0892333984375,878.1912231445312,690.5438842773438,631.615478515625,638.17529296875,688.9382934570312,546.138671875,489.4676513671875,717.9448852539062,494.2550048828125,298.272216796875,811.9901733398438,408.1891784667969,233.56373596191406,683.2617797851562,643.3921508789062,195.8479766845703,1043.383056640625,543.3179321289062,798.353271484375,991.6190795898438,478.7592468261719,568.8804321289062,1000.6915893554688,451.2406311035156,433.9159240722656,948.0864868164062,406.1972961425781,228.3423614501953,882.4891357421875,326.5184326171875,169.7704315185547,939.5039672851562,587.324462890625,175.66009521484375,1.1245,-1.5791,9.7474,0.9766,-0.061,-0.6104,-9.3878,-9.679,137.016,-0.1081,0.0451,0.9266,0.3574,5.3498,-8.1826,0.0957,0.3662,-0.4883,-0.1221,-89.2145,-33.8324,-10.2612,-0.6506,-0.2664,0.1426,0.6967,7.2687,-4.5268,4.8761,-0.2441,-0.2441,0.4883,-42.2424,-48.2684,149.8096,-0.4539,0.2182,0.8603,0.0794,0.4211,0.5694,-9.4555,-0.6104,-0.3052,0.3052,174.4519,1.1975,5.3119,0.9977,-0.0458,0.0127,0.0479,-1.7609,5.3163,8.1348,0.5493,-0.5493,-0.5493,30.6573,9.234,149.48,0.1442,-0.2338,0.933,0.2325,5.2685,-4.9239,6.7614,0.2441,-0.1831,0.3662,-35.9033,-34.3542,-2.4719,-0.2883,-0.2872,0.0714,0.9106,-9.7713,0.0191,-0.268,0.4883,0.061,-0.061,177.2919,88.374,113.3514,0.4076,-0.5899,0.397,-0.5729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777280469.136816,10827,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,738.180419921875,564.5155639648438,1124.1866455078125,986.524169921875,612.961181640625,1120.752685546875,798.9260864257812,390.0060729980469,1155.2132568359375,959.0259399414062,403.9404602050781,1156.8868408203125,677.7205810546875,519.0892333984375,878.1912231445312,690.5438842773438,631.615478515625,638.17529296875,688.9382934570312,546.138671875,489.4676513671875,717.9448852539062,494.2550048828125,298.272216796875,811.9901733398438,408.1891784667969,233.56373596191406,683.2617797851562,643.3921508789062,195.8479766845703,1043.383056640625,543.3179321289062,798.353271484375,991.6190795898438,478.7592468261719,568.8804321289062,1000.6915893554688,451.2406311035156,433.9159240722656,948.0864868164062,406.1972961425781,228.3423614501953,882.4891357421875,326.5184326171875,169.7704315185547,939.5039672851562,587.324462890625,175.66009521484375,1.1245,-1.5791,9.7474,0.9766,-0.061,-0.6104,-9.3878,-9.679,137.016,-0.1081,0.0451,0.9266,0.3574,5.3498,-8.1826,0.0957,0.3662,-0.4883,-0.1221,-89.2145,-33.8324,-10.2612,-0.6506,-0.2664,0.1426,0.6967,7.2687,-4.5268,4.8761,-0.2441,-0.2441,0.4883,-42.2424,-48.2684,149.8096,-0.4539,0.2182,0.8603,0.0794,0.4211,0.5694,-9.4555,-0.6104,-0.3052,0.3052,174.4519,1.1975,5.3119,0.9977,-0.0458,0.0127,0.0479,-1.7609,5.3163,8.1348,0.5493,-0.5493,-0.5493,30.6573,9.234,149.48,0.1442,-0.2338,0.933,0.2325,5.2685,-4.9239,6.7614,0.2441,-0.1831,0.3662,-35.9033,-34.3542,-2.4719,-0.2883,-0.2872,0.0714,0.9106,-9.7713,0.0191,-0.268,0.4883,0.061,-0.061,177.2919,88.374,113.3514,0.4076,-0.5899,0.397,-0.5729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777280469.1399434,10829,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,737.89794921875,562.0704956054688,1123.8802490234375,986.2222900390625,611.068359375,1119.4053955078125,799.0009155273438,387.8031005859375,1155.593994140625,958.97412109375,402.3013000488281,1156.9259033203125,677.6568603515625,513.8096313476562,878.1397705078125,690.9200439453125,629.5142211914062,637.8352661132812,686.7156982421875,558.4603271484375,479.7385559082031,713.7780151367188,527.2482299804688,283.80206298828125,806.7555541992188,446.92169189453125,210.34774780273438,680.598876953125,686.33544921875,195.73362731933594,1042.4771728515625,537.4368286132812,797.3496704101562,991.29541015625,468.8348083496094,568.8282470703125,1000.3855590820312,439.3052673339844,434.1936950683594,948.0341186523438,391.4508972167969,229.14537048339844,882.7868041992188,311.2865295410156,170.12852478027344,939.9561767578125,572.0518798828125,175.69845581054688,1.1245,-1.5743,9.7426,0.9766,-0.1221,-0.6104,-9.3878,-9.657,137.016,-0.1079,0.0451,0.9266,0.3574,5.3498,-8.1778,0.0957,0.3662,-0.4883,-0.1221,-89.22,-33.8269,-10.2612,-0.6507,-0.2664,0.1426,0.6967,7.2687,-4.5268,4.8713,-0.2441,-0.3052,0.4883,-42.2424,-48.2684,149.8096,-0.4539,0.2182,0.8603,0.0794,0.4211,0.5646,-9.4507,-0.6104,-0.3662,0.3052,174.4684,1.181,5.3174,0.9977,-0.0458,0.0125,0.0477,-1.7609,5.3115,8.1348,0.5493,-0.6104,-0.6104,30.6738,9.2395,149.4855,0.1443,-0.2339,0.933,0.2324,5.2637,-4.9239,6.7566,0.1831,-0.3052,0.4272,-35.9088,-34.3268,-2.4719,-0.2884,-0.287,0.0713,0.9107,-9.7713,0.0191,-0.2632,0.4883,0.0,-0.061,177.2809,88.374,113.3459,0.4077,-0.5899,0.3971,-0.5729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777280469.1533432,10829,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,737.89794921875,562.0704956054688,1123.8802490234375,986.2222900390625,611.068359375,1119.4053955078125,799.0009155273438,387.8031005859375,1155.593994140625,958.97412109375,402.3013000488281,1156.9259033203125,677.6568603515625,513.8096313476562,878.1397705078125,690.9200439453125,629.5142211914062,637.8352661132812,686.7156982421875,558.4603271484375,479.7385559082031,713.7780151367188,527.2482299804688,283.80206298828125,806.7555541992188,446.92169189453125,210.34774780273438,680.598876953125,686.33544921875,195.73362731933594,1042.4771728515625,537.4368286132812,797.3496704101562,991.29541015625,468.8348083496094,568.8282470703125,1000.3855590820312,439.3052673339844,434.1936950683594,948.0341186523438,391.4508972167969,229.14537048339844,882.7868041992188,311.2865295410156,170.12852478027344,939.9561767578125,572.0518798828125,175.69845581054688,1.1245,-1.5743,9.7426,0.9766,-0.1221,-0.6104,-9.3878,-9.657,137.016,-0.1079,0.0451,0.9266,0.3574,5.3498,-8.1778,0.0957,0.3662,-0.4883,-0.1221,-89.22,-33.8269,-10.2612,-0.6507,-0.2664,0.1426,0.6967,7.2687,-4.5268,4.8713,-0.2441,-0.3052,0.4883,-42.2424,-48.2684,149.8096,-0.4539,0.2182,0.8603,0.0794,0.4211,0.5646,-9.4507,-0.6104,-0.3662,0.3052,174.4684,1.181,5.3174,0.9977,-0.0458,0.0125,0.0477,-1.7609,5.3115,8.1348,0.5493,-0.6104,-0.6104,30.6738,9.2395,149.4855,0.1443,-0.2339,0.933,0.2324,5.2637,-4.9239,6.7566,0.1831,-0.3052,0.4272,-35.9088,-34.3268,-2.4719,-0.2884,-0.287,0.0713,0.9107,-9.7713,0.0191,-0.2632,0.4883,0.0,-0.061,177.2809,88.374,113.3459,0.4077,-0.5899,0.3971,-0.5729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777280469.1715734,10831,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,737.3839111328125,560.1920166015625,1123.01708984375,985.7327880859375,609.4331665039062,1117.7078857421875,798.55029296875,386.11749267578125,1155.5322265625,958.4379272460938,400.9464416503906,1156.6767578125,676.9832153320312,508.7054138183594,877.2037963867188,691.4877319335938,625.6756591796875,636.1558227539062,684.4946899414062,570.3203125,470.3003845214844,709.27001953125,561.1270141601562,271.52191162109375,800.6624145507812,487.1432189941406,189.7855682373047,678.8604125976562,729.128662109375,199.2068634033203,1041.5487060546875,531.3945922851562,796.225341796875,990.9358520507812,458.8313293457031,568.72216796875,1000.0714111328125,427.3330993652344,434.4358825683594,947.9862060546875,376.6961975097656,229.95448303222656,883.1115112304688,296.021484375,170.48597717285156,940.4234619140625,556.7857055664062,175.74270629882812,1.1245,-1.5839,9.7426,0.9766,-0.1221,-0.6104,-9.3823,-9.6405,137.016,-0.1078,0.0451,0.9266,0.3575,5.3546,-8.1826,0.0861,0.3662,-0.4272,-0.1221,-89.22,-33.8214,-10.2612,-0.6507,-0.2663,0.1426,0.6967,7.2734,-4.522,4.8713,-0.2441,-0.2441,0.4883,-42.2479,-48.2629,149.8151,-0.4538,0.2183,0.8603,0.0794,0.4211,0.5694,-9.4555,-0.6104,-0.3662,0.3052,174.4794,1.1591,5.3229,0.9977,-0.0459,0.0123,0.0476,-1.7562,5.3115,8.13,0.5493,-0.5493,-0.6104,30.7013,9.2505,149.491,0.1444,-0.2341,0.9329,0.2323,5.2637,-4.9191,6.7566,0.2441,-0.1831,0.4272,-35.9088,-34.3048,-2.4719,-0.2884,-0.2868,0.0713,0.9107,-9.7713,0.0239,-0.2728,0.5493,0.0,-0.061,177.2754,88.374,113.335,0.4078,-0.5898,0.3971,-0.5728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777280469.1858127,10832,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,737.0392456054688,559.4947509765625,1122.369873046875,985.4165649414062,608.7362060546875,1116.7325439453125,798.1222534179688,385.49224853515625,1155.3206787109375,957.9856567382812,400.3933410644531,1156.4312744140625,676.4137573242188,506.3128967285156,876.4132690429688,691.81884765625,623.267822265625,634.8677368164062,683.4103393554688,575.9835205078125,465.90447998046875,706.9903564453125,577.9503784179688,266.4439697265625,797.352294921875,507.3952331542969,180.80857849121094,678.5674438476562,750.03955078125,202.42758178710938,1041.07470703125,528.3578491210938,795.6183471679688,990.7405395507812,453.8265686035156,568.6509399414062,999.913330078125,421.3543395996094,434.5492248535156,947.9667358398438,369.3199768066406,230.370849609375,883.2850341796875,288.37640380859375,170.6694793701172,940.6558837890625,549.1530151367188,175.75350952148438,1.1245,-1.5839,9.7426,0.9766,-0.1221,-0.6104,-9.3823,-9.6405,137.016,-0.1078,0.0451,0.9266,0.3575,5.3546,-8.1826,0.0861,0.3662,-0.4272,-0.1221,-89.22,-33.8214,-10.2612,-0.6507,-0.2663,0.1426,0.6967,7.2734,-4.522,4.8713,-0.2441,-0.2441,0.4883,-42.2479,-48.2629,149.8151,-0.4538,0.2183,0.8603,0.0794,0.4211,0.5694,-9.4555,-0.6104,-0.3662,0.3052,174.4794,1.1591,5.3229,0.9977,-0.0459,0.0123,0.0476,-1.7562,5.3115,8.13,0.5493,-0.5493,-0.6104,30.7013,9.2505,149.491,0.1444,-0.2341,0.9329,0.2323,5.2637,-4.9191,6.7566,0.2441,-0.1831,0.4272,-35.9088,-34.3048,-2.4719,-0.2884,-0.2868,0.0713,0.9107,-9.7713,0.0239,-0.2728,0.5493,0.0,-0.061,177.2754,88.374,113.335,0.4078,-0.5898,0.3971,-0.5728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1777280469.2001863,10833,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,736.6343994140625,558.9713745117188,1121.5816650390625,985.0502319335938,608.1322021484375,1115.6796875,797.5579223632812,385.0217590332031,1154.98486328125,957.41064453125,399.93157958984375,1156.099853515625,675.7027587890625,504.0733337402344,875.4180297851562,692.1680908203125,620.64306640625,633.3207397460938,682.3544311523438,581.4066772460938,461.81005859375,704.7576293945312,594.3900146484375,262.1342468261719,793.923583984375,527.400390625,172.85328674316406,678.770263671875,770.3224487304688,206.56497192382812,1040.58984375,525.339599609375,794.98193359375,990.5306396484375,448.8396301269531,568.5693969726562,999.7518310546875,415.39471435546875,434.66180419921875,947.9492797851562,361.9482421875,230.80198669433594,883.461181640625,280.7238464355469,170.85743713378906,940.8854370117188,541.518310546875,175.75289916992188,1.1245,-1.5839,9.7426,0.9766,-0.1221,-0.6104,-9.3823,-9.6405,137.016,-0.1078,0.0451,0.9266,0.3575,5.3546,-8.1826,0.0861,0.3662,-0.4272,-0.1221,-89.22,-33.8214,-10.2612,-0.6507,-0.2663,0.1426,0.6967,7.2734,-4.522,4.8713,-0.2441,-0.2441,0.4883,-42.2479,-48.2629,149.8151,-0.4538,0.2183,0.8603,0.0794,0.4211,0.5694,-9.4555,-0.6104,-0.3662,0.3052,174.4794,1.1591,5.3229,0.9977,-0.0459,0.0123,0.0476,-1.7562,5.3115,8.13,0.5493,-0.5493,-0.6104,30.7013,9.2505,149.491,0.1444,-0.2341,0.9329,0.2323,5.2637,-4.9191,6.7566,0.2441,-0.1831,0.4272,-35.9088,-34.3048,-2.4719,-0.2884,-0.2868,0.0713,0.9107,-9.7713,0.0239,-0.2728,0.5493,0.0,-0.061,177.2754,88.374,113.335,0.4078,-0.5898,0.3971,-0.5728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
