session_id,trial_id,timestamp_wall,timestamp_mono,device_name,seq,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,roll,pitch,yaw,quat_x,quat_y,quat_z,quat_w
independent_20260430_071132,trial_001,1777504292.3844526,227083.3603781,L_Tibia,1,0.1388,-3.9717,9.1062,-0.1831,-0.2441,0.4272,-23.5931,-0.8569,40.2594,-0.1945,0.0635,0.3383,0.9185
independent_20260430_071132,trial_001,1777504292.3854604,227083.3605627,L_Foot,1,3.0529,-7.8812,-4.6512,-0.5493,-0.3052,0.3052,-121.778,-18.7811,36.6394,-0.8432,0.1956,0.2862,0.4108
independent_20260430_071132,trial_001,1777504292.3854604,227083.3606922,R_Femur,1,-9.7282,-0.6699,-0.268,0.7324,-0.5493,-0.5493,-111.3629,85.7648,-98.031,-0.6865,-0.2052,-0.6805,-0.1533
independent_20260430_071132,trial_001,1777504292.3854604,227083.3607972,R_Tibia,1,-4.7708,-7.9194,3.3209,0.1831,-0.3052,0.3662,-67.3187,28.9435,173.1445,0.1755,0.5481,0.7962,0.1864
independent_20260430_071132,trial_001,1777504292.3854604,227083.3608947,R_Foot,1,-7.4792,-3.9382,-4.632,0.5493,0.1221,-0.1221,-139.433,50.9271,-37.5897,-0.8497,-0.1317,-0.4826,0.1664
independent_20260430_071132,trial_001,1777504292.3854604,227083.3610499,Trunk,1,-3.4549,-6.6227,-6.1776,0.4883,-0.1221,-0.7935,-133.1653,20.9015,119.6631,-0.3912,0.8164,0.2542,0.3403
independent_20260430_071132,trial_001,1777504292.3854604,227083.3612454,L_Tibia,2,0.1388,-3.9669,9.1014,-0.2441,-0.2441,0.4272,-23.5931,-0.8569,40.2594,-0.1945,0.0635,0.3383,0.9185
independent_20260430_071132,trial_001,1777504292.3854604,227083.361367,L_Foot,2,3.0529,-7.8859,-4.6464,-0.5493,-0.1831,0.3052,-121.7725,-18.7811,36.6504,-0.8432,0.1956,0.2862,0.4109
independent_20260430_071132,trial_001,1777504292.3864627,227083.3615986,R_Femur,2,-9.7282,-0.6651,-0.268,0.6714,-0.4883,-0.5493,-111.3684,85.7648,-98.0365,-0.6865,-0.2053,-0.6805,-0.1534
independent_20260430_071132,trial_001,1777504292.3864627,227083.3618687,Trunk,2,-3.4549,-6.6227,-6.1824,0.4883,-0.1221,-0.7324,-133.1653,20.9015,119.6631,-0.3912,0.8164,0.2542,0.3403
independent_20260430_071132,trial_001,1777504292.3864627,227083.3621473,L_Femur,1,-3.1678,-7.6993,5.3115,-0.1831,-0.061,-0.1831,-54.8218,18.2867,-76.0693,-0.4449,-0.1689,-0.5976,0.6453
independent_20260430_071132,trial_001,1777504292.3882751,227083.3636253,L_Tibia,3,0.1436,-3.9669,9.1109,-0.2441,-0.2441,0.4272,-23.5931,-0.8569,40.2594,-0.1945,0.0635,0.3383,0.9185
independent_20260430_071132,trial_001,1777504292.3882751,227083.3638009,L_Foot,3,3.0481,-7.8859,-4.6512,-0.5493,-0.2441,0.3052,-121.767,-18.7811,36.6614,-0.8432,0.1957,0.2863,0.4109
independent_20260430_071132,trial_001,1777504292.3882751,227083.3640976,R_Femur,3,-9.7282,-0.6651,-0.268,0.6714,-0.4883,-0.4883,-111.3684,85.7648,-98.0365,-0.6865,-0.2053,-0.6805,-0.1534
independent_20260430_071132,trial_001,1777504292.389284,227083.364252,R_Tibia,2,-4.7708,-7.9242,3.3209,0.1831,-0.3052,0.3662,-67.3187,28.949,173.1445,0.1756,0.5481,0.7962,0.1865
independent_20260430_071132,trial_001,1777504292.389284,227083.364504,R_Foot,2,-7.4888,-3.9334,-4.6368,0.4883,0.1221,-0.1831,-139.4385,50.9271,-37.5897,-0.8497,-0.1318,-0.4826,0.1663
independent_20260430_071132,trial_001,1777504292.389284,227083.3647075,Trunk,3,-3.4501,-6.6227,-6.1776,0.4272,-0.1221,-0.7324,-133.1653,20.9015,119.6631,-0.3912,0.8164,0.2542,0.3403
independent_20260430_071132,trial_001,1777504292.389284,227083.364922,L_Femur,2,-3.1678,-7.7041,5.3163,-0.1221,-0.061,-0.1831,-54.8218,18.2867,-76.0693,-0.4449,-0.1689,-0.5976,0.6453
independent_20260430_071132,trial_001,1777504292.389284,227083.3650628,L_Tibia,4,0.1388,-3.9717,9.1014,-0.1831,-0.1831,0.4883,-23.5931,-0.8569,40.2594,-0.1945,0.0635,0.3383,0.9185
