session_id,trial_id,timestamp_wall,timestamp_mono,side,seq,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_16,sensor_17
independent_20260430_071409,trial_001,1777504450.6135125,227241.5888097,Left,1,0,0,58633,57869,0,0,0,0,63758,54029,39169,0,0,0,6665,49409,36608,0
independent_20260430_071409,trial_001,1777504450.6726694,227241.6487871,Left,2,0,0,57866,8976,0,0,0,0,37392,20752,56834,0,0,0,0,0,0,0
independent_20260430_071409,trial_001,1777504450.7024128,227241.678832,Left,3,0,0,22027,529,0,0,0,0,34577,41233,35331,0,0,0,0,0,0,0
independent_20260430_071409,trial_001,1777504450.7635968,227241.7387764,Left,4,0,0,28939,24081,0,0,0,0,57617,43538,27140,0,0,0,0,0,0,0
independent_20260430_071409,trial_001,1777504450.8230581,227241.7987833,Left,5,0,0,21771,52752,0,0,0,0,50193,32786,35332,0,0,0,0,0,0,0
independent_20260430_071409,trial_001,1777504450.8836231,227241.858854,Left,6,0,0,17931,16144,0,0,0,0,46097,18706,36612,0,0,0,0,0,0,0
independent_20260430_071409,trial_001,1777504450.9135535,227241.8887702,Left,7,0,0,23051,11536,0,0,0,0,42257,31762,29700,0,0,0,0,0,0,0
independent_20260430_071409,trial_001,1777504450.9727945,227241.9487617,Left,8,0,0,17163,63247,0,0,0,0,37137,16402,13316,0,0,0,0,0,0,0
independent_20260430_071409,trial_001,1777504450.9778876,227241.9528997,Left,9,0,0,61705,33805,0,0,0,0,35343,64270,12546,0,0,0,0,0,0,0
independent_20260430_071409,trial_001,1777504451.0385256,227242.0135272,Left,10,0,0,51718,1031,0,0,0,0,46090,64775,0,0,0,0,0,0,0,0
independent_20260430_071409,trial_001,1777504451.123052,227242.0988357,Left,11,0,0,34307,16385,0,0,0,0,51461,54017,0,0,0,0,0,0,0,0
independent_20260430_071409,trial_001,1777504451.1836214,227242.1587674,Left,12,0,0,3841,0,0,0,0,0,51201,0,0,0,0,0,0,0,0,0
independent_20260430_071409,trial_001,1777504451.24273,227242.2188037,Left,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
independent_20260430_071409,trial_001,1777504451.2732537,227242.2488357,Left,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
independent_20260430_071409,trial_001,1777504451.332292,227242.3088113,Left,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
independent_20260430_071409,trial_001,1777504451.393336,227242.3688236,Left,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
independent_20260430_071409,trial_001,1777504451.4537418,227242.4288256,Left,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
independent_20260430_071409,trial_001,1777504451.4836302,227242.4589332,Left,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
independent_20260430_071409,trial_001,1777504451.4884672,227242.4635137,Left,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
independent_20260430_071409,trial_001,1777504451.5479865,227242.5230364,Left,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
independent_20260430_071409,trial_001,1777504451.6634514,227242.638746,Left,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
independent_20260430_071409,trial_001,1777504451.6931033,227242.6688181,Left,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
independent_20260430_071409,trial_001,1777504451.7535257,227242.7288127,Left,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
independent_20260430_071409,trial_001,1777504451.813385,227242.7887911,Left,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
independent_20260430_071409,trial_001,1777504451.8428848,227242.8188111,Left,25,0,0,51200,0,0,0,0,0,22784,0,0,0,0,0,0,0,0,0
independent_20260430_071409,trial_001,1777504451.9033513,227242.8787813,Left,26,0,0,51972,35843,0,0,0,0,50437,32257,0,0,0,0,0,0,0,0
independent_20260430_071409,trial_001,1777504451.9636028,227242.9388195,Left,27,0,0,64263,43783,0,0,0,0,27402,37382,0,0,0,0,0,0,0,0
independent_20260430_071409,trial_001,1777504452.0232606,227242.9987842,Left,28,0,0,9483,24332,6912,0,0,0,59149,50187,59649,0,0,0,0,0,0,0
independent_20260430_071409,trial_001,1777504452.028332,227243.0033504,Left,29,0,0,43276,18703,4354,0,0,0,48655,22286,13828,0,0,0,0,0,0,0
independent_20260430_071409,trial_001,1777504452.0587602,227243.0337671,Left,30,0,0,64780,41999,17155,0,0,0,30991,13838,8965,0,0,0,0,0,0,0
independent_20260430_071409,trial_001,1777504452.173524,227243.1487771,Left,31,0,0,59916,38158,30467,0,0,0,52238,35597,59908,0,0,0,0,0,0,0
independent_20260430_071409,trial_001,1777504452.2324667,227243.2088125,Left,32,0,0,50444,39181,36355,0,0,0,6926,43276,39428,0,0,0,0,0,0,0
independent_20260430_071409,trial_001,1777504452.2635818,227243.2387979,Left,33,0,0,54028,36365,33539,0,0,0,526,56076,47876,0,0,0,0,0,0,0
independent_20260430_071409,trial_001,1777504452.3223014,227243.2988389,Left,34,0,0,22029,30222,28419,0,0,0,62222,38925,6405,0,0,0,0,0,0,0
independent_20260430_071409,trial_001,1777504452.3825605,227243.3587858,Left,35,0,0,9230,30991,27651,0,0,0,51215,40462,12805,0,0,0,0,0,0,0
independent_20260430_071409,trial_001,1777504452.443214,227243.4188204,Left,36,0,0,50446,43280,28931,0,0,0,40976,39439,29445,0,0,0,0,0,0,0
independent_20260430_071409,trial_001,1777504452.47252,227243.4488167,Left,37,0,0,58894,65040,28419,0,0,0,60432,23568,51461,0,0,0,0,0,0,0
independent_20260430_071409,trial_001,1777504452.5336974,227243.5087994,Left,38,0,0,54286,53776,14851,0,0,0,273,8720,40709,0,0,0,0,0,0,0
independent_20260430_071409,trial_001,1777504452.5384617,227243.5136287,Left,39,0,0,55566,19216,23555,0,0,0,24848,29967,43013,0,0,0,0,0,0,0
independent_20260430_071409,trial_001,1777504452.59848,227243.5735057,Left,40,0,0,35598,34831,26371,0,0,0,9232,8207,41989,0,0,0,0,0,0,0
independent_20260430_071409,trial_001,1777504452.6836917,227243.658928,Left,41,0,0,32782,15887,15363,0,0,0,63247,55566,26117,0,0,0,0,0,0,0
independent_20260430_071409,trial_001,1777504452.7425938,227243.7188329,Left,42,0,0,26381,13581,60673,0,0,0,19982,21260,37891,0,0,0,0,0,0,0
independent_20260430_071409,trial_001,1777504452.8036883,227243.778929,Left,43,0,0,60169,32775,0,0,0,0,2314,19206,3840,0,0,0,0,0,0,0
independent_20260430_071409,trial_001,1777504452.8331668,227243.8087797,Left,44,0,0,10501,18177,0,0,0,0,38404,20736,0,0,0,0,0,0,0,0
independent_20260430_071409,trial_001,1777504452.892737,227243.8688118,Left,45,0,0,14849,0,0,0,0,0,25088,0,0,0,0,0,0,0,0,0
