Session_ID,Trial_ID,Subject_ID,Timestamp,Planter_Recv_Timestamp,Planter_Recv_Timestamp_Mono,Planter_Side,Planter_Side_Seq,Planter_Parse_OK_Flag,Planter_Init_OK_Flag,Planter_0,Planter_1,Planter_2,Planter_3,Planter_4,Planter_5,Planter_6,Planter_7,Planter_8,Planter_9,Planter_10,Planter_11,Planter_12,Planter_13,Planter_14,Planter_15,Planter_16,Planter_17
independent_20260430_165647,trial_001,subject_001,1777539408.0283916,1777539408.0283916,262199.6373611,Left,1,1,1,55810,0,9736,7169,0,0,0,0,48648,14337,0,0,0,0,5633,0,19969,0
independent_20260430_165647,trial_001,subject_001,1777539408.0493927,1777539408.0493927,262199.658392,Right,1,1,1,10756,56833,15109,0,0,0,52480,47361,38148,0,0,0,46592,0,0,0,19968,0
independent_20260430_165647,trial_001,subject_001,1777539408.2079294,1777539408.2079294,262199.816913,Left,2,1,1,15363,0,12552,37120,0,0,0,0,30216,36352,0,0,0,0,54016,0,40193,0
independent_20260430_165647,trial_001,subject_001,1777539408.2483435,1777539408.2483435,262199.8572739,Right,2,1,1,58115,55809,4357,0,0,0,36864,514,61443,0,0,0,20224,0,0,0,10240,0
independent_20260430_165647,trial_001,subject_001,1777539408.3908522,1777539408.3908522,262199.9997544,Right,3,1,1,41731,10242,51716,0,0,0,24832,28418,47107,0,0,0,6912,0,0,0,0,0
independent_20260430_165647,trial_001,subject_001,1777539408.3908522,1777539408.3908522,262200.0000987,Left,3,1,1,41731,0,17672,19456,0,0,0,0,13576,11776,0,0,0,0,46336,0,52737,0
independent_20260430_165647,trial_001,subject_001,1777539408.562186,1777539408.562186,262200.171569,Right,4,1,1,36099,18178,33284,0,0,0,12544,61442,37379,0,0,0,0,0,0,0,0,0
independent_20260430_165647,trial_001,subject_001,1777539408.6277206,1777539408.6277206,262200.2374786,Left,4,1,1,60419,1792,17160,0,0,0,0,0,8712,256,0,0,0,0,28160,0,6658,0
independent_20260430_165647,trial_001,subject_001,1777539408.750624,1777539408.750624,262200.3602755,Right,5,1,1,14339,35330,11524,0,0,0,0,17155,13059,0,0,0,0,0,0,0,0,0
independent_20260430_165647,trial_001,subject_001,1777539408.7582316,1777539408.7582316,262200.3676133,Left,5,1,1,10244,5376,21768,0,0,0,0,0,1288,0,0,0,0,0,28160,0,6658,0
