Session_ID,Trial_ID,Subject_ID,Timestamp,IMU_Recv_Timestamp,IMU_Recv_Timestamp_Mono,IMU_Device_ID,IMU_Device_Name,IMU_Device_Seq,IMU_Parse_OK_Flag,IMU_Acc_X,IMU_Acc_Y,IMU_Acc_Z,IMU_Gyro_X,IMU_Gyro_Y,IMU_Gyro_Z,IMU_Roll,IMU_Pitch,IMU_Yaw,IMU_Quat_x,IMU_Quat_y,IMU_Quat_z,IMU_Quat_w
independent_20260430_182902,trial_001,subject_001,1777544943.2743778,1777544943.2743778,267734.883531,10,L_Femur,1,1,-0.1436,8.3453,-2.0576,-58.6548,-50.7202,-24.4751,-6.6852,-40.5505,48.8287,-0.1928,-0.2924,0.4055,0.8444
independent_20260430_182902,trial_001,subject_001,1777544943.2743778,1777544943.2743778,267734.8842038,11,L_Tibia,1,1,1.0145,6.7949,-5.5316,-176.2695,-19.4702,-64.4531,74.6411,-12.9639,-176.2537,0.1094,0.5991,-0.792,-0.0426
independent_20260430_182902,trial_001,subject_001,1777544943.2753706,1777544943.2753706,267734.8843398,12,L_Foot,1,1,0.0574,0.6795,8.5032,-187.0728,4.5776,5.5542,23.5162,2.1478,-59.2383,0.1681,0.1166,-0.4805,0.8528
independent_20260430_182902,trial_001,subject_001,1777544943.2753706,1777544943.2753706,267734.8844448,10,L_Femur,2,1,0.1436,8.0773,-1.6509,-54.6875,-56.8848,-20.1416,-7.5311,-42.3798,47.5488,-0.2014,-0.3054,0.3968,0.8419
independent_20260430_182902,trial_001,subject_001,1777544943.2753706,1777544943.2753706,267734.884546,11,L_Tibia,2,1,2.4644,7.1873,-5.6704,-190.5518,-42.2363,-61.8286,70.2905,-11.2665,-178.8519,0.086,0.572,-0.8143,-0.0484
independent_20260430_182902,trial_001,subject_001,1777544943.2753706,1777544943.2753706,267734.884644,12,L_Foot,2,1,-1.4738,1.4738,9.3167,-181.8237,12.207,1.8921,20.7806,2.2852,-59.1339,0.1472,0.106,-0.4821,0.8571
independent_20260430_182902,trial_001,subject_001,1777544943.2753706,1777544943.2753706,267734.8847552,13,R_Femur,1,1,0.5646,9.3646,-1.2106,32.7759,-27.6489,3.0518,59.5844,-15.9302,-165.8496,0.1799,0.4735,-0.8614,0.0375
independent_20260430_182902,trial_001,subject_001,1777544943.2753706,1777544943.2753706,267734.884852,14,R_Tibia,1,1,0.3397,9.1731,-2.694,17.395,-8.1177,2.9907,70.3949,-78.2556,-65.5829,0.6552,-0.1913,-0.6491,0.3359
independent_20260430_182902,trial_001,subject_001,1777544943.2753706,1777544943.2753706,267734.8849443,15,R_Foot,1,1,0.5168,0.7369,9.9483,0.7935,-1.1597,-0.7324,5.2734,-6.2073,-131.4844,0.0682,0.0197,-0.9104,0.4075
independent_20260430_182902,trial_001,subject_001,1777544943.2753706,1777544943.2753706,267734.8850379,10,L_Femur,3,1,0.402,7.7615,-1.0384,-50.5371,-60.1807,-14.9536,-8.3551,-44.2804,46.4008,-0.2101,-0.3189,0.3892,0.8383
independent_20260430_182902,trial_001,subject_001,1777544943.2753706,1777544943.2753706,267734.8851313,12,L_Foot,3,1,-2.9142,2.0576,9.8813,-164.3066,9.1553,-14.8926,17.3969,2.5433,-59.2712,0.1206,0.0938,-0.4858,0.8606
independent_20260430_182902,trial_001,subject_001,1777544943.2763712,1777544943.2763712,267734.8852278,10,L_Femur,4,1,0.3158,7.6132,-0.2058,-43.335,-58.96,-8.0566,-9.4208,-46.8073,45.0385,-0.2212,-0.3368,0.3804,0.8324
independent_20260430_182902,trial_001,subject_001,1777544943.2763712,1777544943.2763712,267734.8853222,11,L_Tibia,3,1,4.1296,7.8285,-6.0771,-211.4258,1.9531,-71.228,62.9681,-8.6407,177.561,-0.0531,-0.522,0.8493,0.0574
independent_20260430_182902,trial_001,subject_001,1777544943.2763712,1777544943.2763712,267734.8854143,12,L_Foot,4,1,-2.9142,3.2348,13.7143,-171.0815,19.8364,-25.3296,14.8645,2.8839,-59.5404,0.0999,0.0859,-0.4894,0.8621
independent_20260430_182902,trial_001,subject_001,1777544943.2763712,1777544943.2763712,267734.8855047,13,R_Femur,2,1,0.3637,9.6086,-1.4164,32.5928,-14.6484,-2.1362,60.9521,-16.3477,-166.723,0.1797,0.4845,-0.8557,0.027
independent_20260430_182902,trial_001,subject_001,1777544943.2763712,1777544943.2763712,267734.8856016,14,R_Tibia,2,1,0.4498,9.3646,-2.5505,18.4937,-13.6108,3.1128,73.504,-78.4973,-68.4943,0.6683,-0.1583,-0.6621,0.2999
independent_20260430_182902,trial_001,subject_001,1777544943.2763712,1777544943.2763712,267734.8857253,15,R_Foot,2,1,0.5455,0.7752,9.9579,1.0986,-1.3428,-0.6104,4.6967,-4.845,-131.4349,0.0553,0.0199,-0.9107,0.4089
independent_20260430_182902,trial_001,subject_001,1777544943.2763712,1777544943.2763712,267734.885826,10,L_Femur,5,1,0.4259,7.5988,0.2967,-36.0718,-53.4668,-5.3101,-10.1294,-48.6365,44.0881,-0.2285,-0.35,0.3744,0.8277
independent_20260430_182902,trial_001,subject_001,1777544943.2763712,1777544943.2763712,267734.8859166,11,L_Tibia,4,1,2.3112,8.2065,-6.3164,-211.1206,-6.6528,-73.6084,57.9144,-6.9653,175.21,-0.0329,-0.4851,0.8714,0.0659
independent_20260430_182902,trial_001,subject_001,1777544943.2763712,1777544943.2763712,267734.8860063,12,L_Foot,5,1,-2.7371,4.2827,14.7957,-185.791,38.0249,-34.0576,12.0959,3.4991,-59.903,0.0761,0.0789,-0.4935,0.8628
independent_20260430_182902,trial_001,subject_001,1777544943.2763712,1777544943.2763712,267734.8860957,13,R_Femur,3,1,0.1962,9.4363,-1.4451,32.7759,-11.3525,-1.77,61.485,-16.452,-166.9757,0.1796,0.4887,-0.8534,0.0238
independent_20260430_182902,trial_001,subject_001,1777544943.2763712,1777544943.2763712,267734.8861852,10,L_Femur,6,1,0.8661,7.8668,0.9905,-25.4517,-42.8467,-1.1597,-10.8929,-50.9546,42.7972,-0.236,-0.3674,0.3659,0.8218
independent_20260430_182902,trial_001,subject_001,1777544943.2773764,1777544943.2773764,267734.8862735,11,L_Tibia,5,1,1.6461,8.9243,-5.9527,-209.4116,-12.9395,-71.4111,54.1241,-5.9381,173.2544,-0.0193,-0.4563,0.8864,0.0758
independent_20260430_182902,trial_001,subject_001,1777544943.2773764,1777544943.2773764,267734.8863628,12,L_Foot,6,1,-2.7228,5.1775,11.7141,-167.5415,33.6304,-40.1611,8.5748,4.3671,-60.5457,0.0454,0.0705,-0.4999,0.862
independent_20260430_182902,trial_001,subject_001,1777544943.2773764,1777544943.2773764,267734.8864516,13,R_Femur,4,1,0.067,9.3598,-1.3542,36.3159,-10.3149,-2.0142,62.2595,-16.5619,-167.3053,0.1791,0.4948,-0.8501,0.0196
independent_20260430_182902,trial_001,subject_001,1777544943.2773764,1777544943.2773764,267734.8865404,14,R_Tibia,3,1,0.6604,9.2976,-2.3208,18.7988,-4.5776,1.77,76.5033,-78.6676,-71.2408,0.6792,-0.1257,-0.6728,0.2652
independent_20260430_182902,trial_001,subject_001,1777544943.2773764,1777544943.2773764,267734.8866324,10,L_Femur,7,1,1.0575,8.4027,1.5312,-20.0195,-36.6821,-1.0376,-11.3214,-52.5311,41.8689,-0.24,-0.3797,0.3596,0.8179
independent_20260430_182902,trial_001,subject_001,1777544943.2773764,1777544943.2773764,267734.8867218,11,L_Tibia,6,1,1.7992,9.1253,-5.7326,-202.7588,-18.8599,-71.2891,50.3998,-5.1031,171.189,-0.0075,-0.4272,0.8998,0.0883
independent_20260430_182902,trial_001,subject_001,1777544943.2773764,1777544943.2773764,267734.8868114,12,L_Foot,7,1,-2.6893,5.7565,11.2882,-151.7334,14.4043,-38.0859,6.2128,4.7186,-61.095,0.0257,0.0629,-0.5052,0.8603
independent_20260430_182902,trial_001,subject_001,1777544943.3240523,1777544943.3240523,267734.9334637,10,L_Femur,8,1,0.8948,8.7999,1.9571,-15.5029,-30.9448,-3.3569,-11.6016,-54.0253,40.8362,-0.242,-0.3921,0.3522,0.8146
independent_20260430_182902,trial_001,subject_001,1777544943.3240523,1777544943.3240523,267734.9336344,11,L_Tibia,7,1,1.3063,9.1971,-4.9383,-192.3828,-26.9775,-70.7397,45.5548,-4.3066,168.1512,0.0055,-0.3884,0.9149,0.1096
independent_20260430_182902,trial_001,subject_001,1777544943.3240523,1777544943.3240523,267734.9337762,12,L_Foot,8,1,-2.3208,5.9097,11.2499,-132.2021,-5.0659,-32.7148,4.1309,4.7406,-61.6113,0.0098,0.0539,-0.5101,0.8584
independent_20260430_182902,trial_001,subject_001,1777544943.3250556,1777544943.3250556,267734.9339089,14,R_Tibia,4,1,0.8661,9.4459,-2.3734,22.3999,-6.958,0.4272,79.4586,-78.7665,-73.7952,0.688,-0.0936,-0.6812,0.2319
independent_20260430_182902,trial_001,subject_001,1777544943.3250556,1777544943.3250556,267734.9341039,15,R_Foot,3,1,0.5264,0.6508,9.9818,2.0142,-1.8311,-0.4272,4.6857,-4.8175,-131.4349,0.0551,0.02,-0.9107,0.409
independent_20260430_182902,trial_001,subject_001,1777544943.3250556,1777544943.3250556,267734.9342635,10,L_Femur,9,1,0.7704,8.8478,2.2921,-9.7046,-15.7471,-8.3618,-11.618,-55.8105,39.1992,-0.2404,-0.4086,0.3395,0.8124
independent_20260430_182902,trial_001,subject_001,1777544943.3250556,1777544943.3250556,267734.9343958,11,L_Tibia,8,1,1.1628,9.2545,-4.6655,-187.1948,-34.1187,-67.3828,42.0337,-3.9825,165.8606,0.0119,-0.3597,0.9243,0.1272
independent_20260430_182902,trial_001,subject_001,1777544943.3250556,1777544943.3250556,267734.9347739,12,L_Foot,9,1,-1.6844,5.814,11.3408,-111.0229,-8.1177,-28.8086,1.7358,4.6088,-62.2211,-0.0078,0.0422,-0.5157,0.8557
independent_20260430_182902,trial_001,subject_001,1777544943.3260503,1777544943.3260503,267734.9349119,13,R_Femur,5,1,0.0813,9.7856,-1.2776,31.0669,-19.5923,-1.3428,64.1272,-16.8915,-168.3105,0.1773,0.5097,-0.8419,0.0078
independent_20260430_182902,trial_001,subject_001,1777544943.3260503,1777544943.3260503,267734.9350382,10,L_Femur,10,1,0.5742,8.6276,2.3064,-5.9204,-3.2349,-11.7798,-11.3269,-57.0135,37.6556,-0.2354,-0.4215,0.3268,0.8125
independent_20260430_182902,trial_001,subject_001,1777544943.3260503,1777544943.3260503,267734.935166,11,L_Tibia,9,1,1.4164,9.02,-4.0004,-175.1099,-31.311,-63.8428,37.4908,-3.8013,162.8339,0.0169,-0.3223,0.9342,0.1518
independent_20260430_182902,trial_001,subject_001,1777544943.3260503,1777544943.3260503,267734.9352941,12,L_Foot,10,1,-1.5791,6.0724,13.4989,-109.4971,4.3335,-31.1279,0.0769,4.6307,-62.6825,-0.0204,0.0349,-0.5197,0.8534
independent_20260430_182902,trial_001,subject_001,1777544943.3260503,1777544943.3260503,267734.9354246,13,R_Femur,6,1,0.1914,9.4507,-1.3686,33.6304,-25.6348,1.0986,64.726,-17.0837,-168.75,0.1767,0.5145,-0.8391,0.0028
independent_20260430_182902,trial_001,subject_001,1777544943.3260503,1777544943.3260503,267734.9355487,14,R_Tibia,5,1,0.7034,9.1923,-3.029,24.1089,-9.2163,-1.1597,83.0566,-78.772,-76.9702,0.6967,-0.053,-0.6894,0.1911
independent_20260430_182902,trial_001,subject_001,1777544943.3260503,1777544943.3260503,267734.9356714,15,R_Foot,4,1,0.6269,0.8183,10.0105,1.8311,-1.3428,-0.6714,4.6802,-4.801,-131.4404,0.0549,0.02,-0.9107,0.4089
independent_20260430_182902,trial_001,subject_001,1777544943.3260503,1777544943.3260503,267734.9357872,10,L_Femur,11,1,0.1771,8.4554,2.2347,-1.9531,3.418,-14.2212,-10.8325,-58.0353,36.0187,-0.2278,-0.4337,0.3127,0.8138
independent_20260430_182902,trial_001,subject_001,1777544943.3270488,1777544943.3270488,267734.9359038,11,L_Tibia,10,1,1.1724,8.6946,-3.5937,-165.7104,-26.7944,-60.1196,34.2444,-3.8123,160.6311,0.0182,-0.2954,0.9399,0.1703
independent_20260430_182902,trial_001,subject_001,1777544943.3270488,1777544943.3270488,267734.9360193,12,L_Foot,11,1,-3.0386,6.7088,14.5756,-123.4131,9.2773,-38.6963,-2.3511,4.7845,-63.4296,-0.0394,0.0247,-0.5259,0.8493
