Session_ID,Trial_ID,Subject_ID,Timestamp,Planter_Recv_Timestamp,Planter_Recv_Timestamp_Mono,Planter_Side,Planter_Side_Seq,Planter_Read_Seq,Planter_Candidate_Frame_Seq,Planter_Parse_OK_Flag,Planter_Init_OK_Flag,Planter_Frame_Length,Planter_Frame_Length_Mode,Planter_All_Zero_Flag,Planter_Review_Flag,Planter_0,Planter_1,Planter_2,Planter_3,Planter_4,Planter_5,Planter_6,Planter_7,Planter_8,Planter_9,Planter_10,Planter_11,Planter_12,Planter_13,Planter_14,Planter_15,Planter_16,Planter_17
independent_20260430_190041,trial_001,subject_001,1777546842.9890563,1777546842.9890563,269634.5985383,Left,1,4,1,1,1,38,safe_38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
independent_20260430_190041,trial_001,subject_001,1777546843.1671076,1777546843.1671076,269634.7760154,Left,2,8,2,1,1,38,safe_38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
independent_20260430_190041,trial_001,subject_001,1777546843.3060238,1777546843.3060238,269634.9156746,Left,3,12,3,1,1,38,safe_38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
independent_20260430_190041,trial_001,subject_001,1777546843.4475381,1777546843.4475381,269635.0566137,Left,4,16,4,1,1,38,safe_38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
independent_20260430_190041,trial_001,subject_001,1777546843.526699,1777546843.526699,269635.1359894,Left,5,20,5,1,1,38,safe_38,0,0,0,0,43267,23040,0,0,0,0,7428,52480,0,0,0,0,0,0,0,0
independent_20260430_190041,trial_001,subject_001,1777546843.6364062,1777546843.6364062,269635.2458319,Left,6,24,6,1,1,38,safe_38,0,0,0,0,30725,4355,0,0,0,0,49669,64514,0,0,0,0,0,0,0,0
independent_20260430_190041,trial_001,subject_001,1777546843.7903545,1777546843.7903545,269635.3996345,Left,7,28,7,1,1,38,safe_38,0,0,0,0,62214,10245,0,0,0,0,22280,63237,0,0,0,0,0,0,0,0
independent_20260430_190041,trial_001,subject_001,1777546843.9883647,1777546843.9883647,269635.5974505,Left,8,32,8,1,1,38,safe_38,0,0,0,0,41225,10760,0,0,0,0,27915,50184,0,0,0,0,0,0,0,0
independent_20260430_190041,trial_001,subject_001,1777546844.1062317,1777546844.1062317,269635.7156188,Left,9,35,9,1,1,38,safe_38,0,0,0,0,5643,55562,10497,0,0,0,25614,1036,54785,0,0,0,0,0,0,0
independent_20260430_190041,trial_001,subject_001,1777546844.3067107,1777546844.3067107,269635.9155696,Left,10,39,10,1,1,38,safe_38,0,0,0,0,52235,2572,63746,0,0,0,38671,55565,15108,0,0,0,0,0,0,0
independent_20260430_190041,trial_001,subject_001,1777546844.4669101,1777546844.4669101,269636.0758029,Left,11,43,11,1,1,38,safe_38,0,0,0,0,62219,25356,11779,0,0,0,43279,23310,48900,0,0,0,0,0,0,0
independent_20260430_190041,trial_001,subject_001,1777546844.6063025,1777546844.6063025,269636.2157355,Left,12,47,12,1,1,38,safe_38,0,0,0,0,12,9484,3843,0,0,0,37647,63245,60676,0,0,0,0,0,0,0
independent_20260430_190041,trial_001,subject_001,1777546844.746193,1777546844.746193,269636.3555637,Left,13,51,13,1,1,38,safe_38,0,0,0,0,63499,57355,41218,0,0,0,36111,55309,1029,0,0,0,0,0,0,0
independent_20260430_190041,trial_001,subject_001,1777546844.8658862,1777546844.8658862,269636.475593,Left,14,55,14,1,1,38,safe_38,0,0,0,0,57611,23307,54018,0,0,0,42255,28685,773,0,0,0,0,0,0,0
independent_20260430_190041,trial_001,subject_001,1777546845.0067153,1777546845.0067153,269636.6158367,Left,15,59,15,1,1,38,safe_38,0,0,0,0,28940,6411,64514,0,0,0,45327,12301,56324,0,0,0,0,0,0,0
independent_20260430_190041,trial_001,subject_001,1777546845.1458533,1777546845.1458533,269636.7555876,Left,16,63,16,1,1,38,safe_38,0,0,0,0,2572,51721,18691,0,0,0,17423,41227,39940,0,0,0,0,0,0,0
independent_20260430_190041,trial_001,subject_001,1777546845.2562456,1777546845.2562456,269636.8654975,Left,17,67,17,1,1,38,safe_38,0,0,0,0,28427,51207,12035,0,0,0,43789,19721,12548,26880,0,0,0,0,0,0
independent_20260430_190041,trial_001,subject_001,1777546845.4861913,1777546845.4861913,269637.0958,Left,18,71,18,1,1,38,safe_38,0,0,0,0,38154,59396,19970,0,0,0,57355,45573,19715,257,0,0,0,0,0,0
independent_20260430_190041,trial_001,subject_001,1777546845.5768394,1777546845.5768394,269637.1858409,Left,19,74,19,1,1,38,safe_38,0,0,0,6656,31241,61185,57856,0,0,0,50185,28674,42241,39169,0,0,0,0,0,0
independent_20260430_190041,trial_001,subject_001,1777546845.6875658,1777546845.6875658,269637.2972733,Left,20,78,20,1,1,38,safe_38,0,0,0,43009,18696,0,0,0,0,51968,58887,0,6400,28674,0,30464,0,0,0,0
independent_20260430_190041,trial_001,subject_001,1777546845.8460865,1777546845.8460865,269637.4558145,Left,21,82,21,1,1,38,safe_38,0,0,0,34562,26887,0,0,0,0,36865,5127,0,0,40450,0,25601,0,0,0,0
independent_20260430_190041,trial_001,subject_001,1777546846.0400348,1777546846.0400348,269637.648939,Left,22,86,22,1,1,38,safe_38,0,0,0,21508,55557,0,0,0,0,57858,7174,0,0,50432,0,21506,0,0,0,0
independent_20260430_190041,trial_001,subject_001,1777546846.2262082,1777546846.2262082,269637.8356871,Left,23,90,23,1,1,38,safe_38,0,0,0,20485,14340,0,0,0,0,55298,61189,0,0,0,0,53761,0,0,0,0
independent_20260430_190041,trial_001,subject_001,1777546846.4088302,1777546846.4088302,269638.0177811,Left,24,94,24,1,1,38,safe_38,0,0,0,14595,48643,0,0,0,0,19456,17669,0,0,0,0,0,0,0,0,0
independent_20260430_190041,trial_001,subject_001,1777546846.6160743,1777546846.6160743,269638.2258163,Left,25,98,25,1,1,38,safe_38,0,0,0,0,22017,0,0,0,0,0,62722,0,0,0,0,0,0,0,0,0
independent_20260430_190041,trial_001,subject_001,1777546846.7402596,1777546846.7402596,269638.3491484,Left,26,102,26,1,1,38,safe_38,0,0,0,0,0,0,0,0,0,0,31744,0,0,0,0,0,0,0,0,0
independent_20260430_190041,trial_001,subject_001,1777546846.959353,1777546846.959353,269638.5682556,Left,27,106,27,1,1,38,safe_38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
