Session_ID,Trial_ID,Subject_ID,Timestamp,Planter_Recv_Timestamp,Planter_Recv_Timestamp_Mono,Planter_Side,Planter_Side_Seq,Planter_Read_Seq,Planter_Candidate_Frame_Seq,Planter_Parse_OK_Flag,Planter_Init_OK_Flag,Planter_Frame_Length,Planter_Frame_Length_Mode,Planter_All_Zero_Flag,Planter_Review_Flag,Planter_0,Planter_1,Planter_2,Planter_3,Planter_4,Planter_5,Planter_6,Planter_7,Planter_8,Planter_9,Planter_10,Planter_11,Planter_12,Planter_13,Planter_14,Planter_15,Planter_16,Planter_17
independent_20260430_202854,trial_001,subject_001,1777552135.6019986,1777552135.6019986,274927.2109572,Right,1,0,0,1,1,39,reference_style,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
independent_20260430_202854,trial_001,subject_001,1777552135.7176943,1777552135.7176943,274927.3272027,Right,2,0,0,1,1,39,reference_style,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
independent_20260430_202854,trial_001,subject_001,1777552135.8383543,1777552135.8383543,274927.4477897,Right,3,0,0,1,1,39,reference_style,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
independent_20260430_202854,trial_001,subject_001,1777552136.0082164,1777552136.0082164,274927.6173586,Right,4,0,0,1,1,39,reference_style,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
independent_20260430_202854,trial_001,subject_001,1777552136.1694713,1777552136.1694713,274927.7785217,Right,5,0,0,1,1,39,reference_style,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
independent_20260430_202854,trial_001,subject_001,1777552136.258465,1777552136.258465,274927.8678614,Right,6,0,0,1,1,39,reference_style,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
independent_20260430_202854,trial_001,subject_001,1777552136.4278908,1777552136.4278908,274928.0372488,Right,7,0,0,1,1,39,reference_style,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
independent_20260430_202854,trial_001,subject_001,1777552136.5639985,1777552136.5639985,274928.1729484,Right,8,0,0,1,1,39,reference_style,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
independent_20260430_202854,trial_001,subject_001,1777552136.708577,1777552136.708577,274928.3177049,Right,9,0,0,1,1,39,reference_style,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
independent_20260430_202854,trial_001,subject_001,1777552136.922586,1777552136.922586,274928.5316341,Right,10,0,0,1,1,39,reference_style,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
